from,to,dist
1,2,1495.0
1,3,381.0
1,4,2012.0
1,5,1157.0
1,6,990.0
1,7,764.0
1,8,178.0
1,9,147.0
1,10,1788.0
1,11,542.0
1,12,508.0
1,13,749.0
1,14,696.0
1,15,408.0
1,16,318.0
1,17,1213.0
1,18,714.0
1,19,1082.0
1,20,717.0
1,21,935.0
1,22,228.0
1,23,538.0
1,24,1670.0
1,25,816.0
1,26,1922.0
1,27,1096.0
1,28,840.0
1,29,1147.0
1,30,986.0
1,31,498.0
1,32,1250.0
1,33,553.0
1,34,678.0
1,35,2136.0
1,36,754.0
1,37,1046.0
1,38,326.0
1,39,1117.0
1,40,261.0
1,41,692.0
1,42,1525.0
1,43,1104.0
1,44,616.0
1,45,2162.0
1,46,488.0
1,47,753.0
1,48,1184.0
2,3,1135.0
2,4,637.0
2,5,583.0
2,6,2207.0
2,7,2056.0
2,8,1641.0
2,9,1590.0
2,10,736.0
2,11,1312.0
2,12,1494.0
2,13,1150.0
2,14,988.0
2,15,1552.0
2,16,1243.0
2,17,2360.0
2,18,2004.0
2,19,2291.0
2,20,1615.0
2,21,1279.0
2,22,1272.0
2,23,1163.0
2,24,906.0
2,25,983.0
2,26,585.0
2,27,2269.0
2,28,2097.0
2,29,381.0
2,30,2155.0
2,31,1898.0
2,32,1091.0
2,33,1661.0
2,34,840.0
2,35,988.0
2,36,1984.0
2,37,2272.0
2,38,1778.0
2,39,976.0
2,40,1443.0
2,41,872.0
2,42,504.0
2,43,2223.0
2,44,1957.0
2,45,1098.0
2,46,1727.0
2,47,1388.0
2,48,661.0
3,4,1633.0
3,5,778.0
3,6,1163.0
3,7,971.0
3,8,551.0
3,9,457.0
3,10,1412.0
3,11,375.0
3,12,481.0
3,13,474.0
3,14,349.0
3,15,475.0
3,16,301.0
3,17,1359.0
3,18,918.0
3,19,1255.0
3,20,686.0
3,21,699.0
3,22,207.0
3,23,262.0
3,24,1308.0
3,25,480.0
3,26,1541.0
3,27,1251.0
3,28,1029.0
3,29,774.0
3,30,1133.0
3,31,772.0
3,32,936.0
3,33,622.0
3,34,301.0
3,35,1760.0
3,36,922.0
3,37,1227.0
3,38,644.0
3,39,785.0
3,40,325.0
3,41,442.0
3,42,1144.0
3,43,1231.0
3,44,850.0
3,45,1790.0
3,46,640.0
3,47,591.0
3,48,810.0
4,5,886.0
4,6,2550.0
4,7,2444.0
4,8,2175.0
4,9,2081.0
4,10,444.0
4,11,1697.0
4,12,1881.0
4,13,1480.0
4,14,1385.0
4,15,1969.0
4,16,1806.0
4,17,2662.0
4,18,2397.0
4,19,2624.0
4,20,1941.0
4,21,1519.0
4,22,1805.0
4,23,1576.0
4,24,735.0
4,25,1321.0
4,26,102.0
4,27,2589.0
4,28,2467.0
4,29,879.0
4,30,2485.0
4,31,2343.0
4,32,1190.0
4,33,2044.0
4,34,1336.0
4,35,451.0
4,36,2357.0
4,37,2613.0
4,38,2255.0
4,39,1161.0
4,40,1901.0
4,41,1467.0
4,42,532.0
4,43,2526.0
4,44,2373.0
4,45,594.0
4,46,2138.0
4,47,1695.0
4,48,900.0
5,6,1686.0
5,7,1565.0
5,8,1329.0
5,9,1210.0
5,10,636.0
5,11,814.0
5,12,999.0
5,13,609.0
5,14,500.0
5,15,1084.0
5,16,1006.0
5,17,1818.0
5,18,1516.0
5,19,1764.0
5,20,1078.0
5,21,703.0
5,22,970.0
5,23,691.0
5,24,588.0
5,25,443.0
5,26,788.0
5,27,1735.0
5,28,1592.0
5,29,283.0
5,30,1626.0
5,31,1458.0
5,32,528.0
5,33,1163.0
5,34,503.0
5,35,985.0
5,36,1481.0
5,37,1750.0
5,38,1377.0
5,39,396.0
5,40,1021.0
