from,to,dist
1,2,372.0
1,3,560.0
1,4,370.0
1,5,751.0
1,6,329.0
1,7,519.0
1,8,398.0
1,9,763.0
1,10,769.0
1,11,532.0
1,12,806.0
1,13,522.0
1,14,562.0
1,15,874.0
1,16,487.0
1,17,605.0
1,18,722.0
1,19,906.0
1,20,467.0
1,21,713.0
1,22,774.0
1,23,582.0
1,24,692.0
1,25,607.0
1,26,691.0
1,27,817.0
1,28,769.0
1,29,787.0
1,30,878.0
1,31,860.0
1,32,871.0
1,33,756.0
1,34,850.0
1,35,875.0
1,36,534.0
1,37,826.0
1,38,868.0
1,39,846.0
1,40,860.0
1,41,871.0
1,42,884.0
1,43,867.0
1,44,879.0
1,45,805.0
1,46,876.0
1,47,858.0
1,48,876.0
1,49,887.0
1,50,894.0
1,51,855.0
1,52,878.0
1,53,878.0
1,54,882.0
1,55,889.0
1,56,876.0
1,57,798.0
1,58,872.0
1,59,574.0
1,60,783.0
1,61,871.0
1,62,587.0
1,63,567.0
1,64,824.0
1,65,573.0
1,66,870.0
1,67,881.0
1,68,854.0
1,69,771.0
1,70,830.0
1,71,678.0
1,72,746.0
1,73,893.0
1,74,785.0
1,75,757.0
1,76,731.0
1,77,865.0
1,78,777.0
1,79,872.0
1,80,737.0
1,81,876.0
1,82,697.0
1,83,875.0
1,84,910.0
1,85,673.0
1,86,684.0
1,87,783.0
1,88,877.0
1,89,706.0
1,90,708.0
1,91,856.0
1,92,912.0
1,93,897.0
1,94,739.0
1,95,914.0
1,96,914.0
1,97,931.0
1,98,747.0
1,99,757.0
1,100,989.0
1,101,766.0
1,102,862.0
1,103,911.0
1,104,797.0
1,105,974.0
1,106,967.0
1,107,996.0
1,108,997.0
1,109,872.0
1,110,1042.0
1,111,828.0
1,112,1049.0
1,113,893.0
1,114,897.0
1,115,1071.0
1,116,1069.0
1,117,1085.0
1,118,1047.0
1,119,978.0
1,120,1148.0
1,121,1129.0
1,122,1037.0
1,123,1209.0
1,124,1219.0
1,125,991.0
1,126,993.0
1,127,988.0
1,128,1214.0
1,129,1173.0
1,130,1007.0
1,131,1153.0
1,132,1033.0
1,133,1209.0
1,134,1044.0
1,135,1198.0
1,136,1190.0
1,137,1083.0
1,138,1108.0
1,139,1120.0
1,140,1097.0
1,141,1155.0
1,142,1110.0
1,143,1257.0
1,144,1159.0
1,145,1119.0
1,146,1135.0
1,147,1200.0
1,148,1262.0
1,149,1141.0
1,150,1178.0
1,151,1236.0
1,152,1199.0
1,153,1195.0
1,154,1186.0
1,155,1264.0
1,156,1163.0
1,157,1211.0
1,158,1281.0
1,159,1280.0
1,160,1346.0
1,161,1223.0
1,162,1307.0
1,163,1232.0
1,164,1238.0
1,165,1296.0
1,166,1356.0
1,167,1328.0
1,168,1332.0
1,169,1284.0
1,170,1361.0
1,171,1378.0
1,172,1314.0
1,173,1326.0
1,174,1325.0
1,175,1335.0
1,176,1319.0
1,177,1365.0
1,178,1380.0
1,179,1335.0
1,180,1391.0
1,181,1384.0
1,182,1349.0
1,183,1368.0
1,184,1383.0
1,185,1428.0
1,186,1370.0
1,187,1389.0
1,188,1419.0
1,189,1419.0
1,190,1414.0
1,191,1428.0
1,192,1435.0
1,193,1459.0
1,194,1427.0
2,3,195.0
2,4,150.0
2,5,412.0
2,6,305.0
2,7,279.0
2,8,337.0
2,9,457.0
2,10,463.0
2,11,363.0
2,12,510.0
2,13,402.0
2,14,403.0
2,15,569.0
2,16,429.0
2,17,419.0
2,18,487.0
2,19,609.0
2,20,609.0
2,21,485.0
2,22,523.0
2,23,467.0
2,24,490.0
2,25,475.0
2,26,491.0
2,27,555.0
2,28,530.0
2,29,541.0
2,30,604.0
2,31,591.0
2,32,599.0
2,33,532.0
2,34,589.0
2,35,607.0
2,36,563.0
2,37,576.0
2,38,604.0
2,39,590.0
2,40,599.0
2,41,609.0
2,42,618.0
2,43,607.0
2,44,615.0
2,45,570.0
2,46,614.0
2,47,603.0
2,48,615.0
2,49,622.0
2,50,628.0
2,51,603.0
2,52,618.0
2,53,618.0
2,54,621.0
2,55,626.0
2,56,619.0
2,57,574.0
2,58,617.0
2,59,579.0
2,60,572.0
2,61,623.0
2,62,591.0
2,63,645.0
2,64,601.0
2,65,714.0
2,66,629.0
2,67,637.0
2,68,622.0
2,69,584.0
2,70,617.0
2,71,582.0
2,72,587.0
2,73,654.0
2,74,612.0
2,75,609.0
2,76,610.0
2,77,655.0
2,78,624.0
2,79,672.0
2,80,642.0
2,81,676.0
2,82,661.0
