from,to,dist
1,2,18.0
1,3,36.0
1,4,45.0
1,5,6.0
1,6,13.0
1,7,29.0
1,8,5.0
1,9,6.0
1,10,19.0
1,11,22.0
1,12,25.0
1,13,49.0
1,14,9.0
1,15,10.0
1,16,11.0
1,17,29.0
1,18,12.0
1,19,11.0
1,20,19.0
1,21,22.0
1,22,29.0
1,23,13.0
1,24,16.0
1,25,48.0
1,26,15.0
1,27,15.0
1,28,51.0
1,29,17.0
1,30,18.0
1,31,18.0
1,32,18.0
1,33,18.0
1,34,18.0
1,35,22.0
1,36,25.0
1,37,25.0
1,38,25.0
1,39,25.0
1,40,25.0
1,41,25.0
1,42,26.0
1,43,30.0
1,44,31.0
1,45,39.0
1,46,52.0
1,47,28.0
1,48,28.0
1,49,28.0
1,50,29.0
1,51,30.0
1,52,36.0
1,53,38.0
1,54,39.0
1,55,29.0
1,56,32.0
1,57,32.0
1,58,33.0
1,59,33.0
1,60,34.0
1,61,34.0
1,62,36.0
1,63,40.0
1,64,42.0
1,65,35.0
1,66,50.0
1,67,36.0
1,68,40.0
1,69,44.0
1,70,45.0
1,71,47.0
1,72,50.0
1,73,62.0
1,74,48.0
1,75,51.0
1,76,52.0
1,77,57.0
1,78,66.0
1,79,51.0
1,80,51.0
1,81,51.0
1,82,51.0
1,83,52.0
1,84,56.0
1,85,57.0
1,86,58.0
1,87,52.0
1,88,56.0
1,89,57.0
1,90,55.0
1,91,55.0
1,92,56.0
1,93,56.0
1,94,56.0
1,95,57.0
1,96,57.0
1,97,57.0
1,98,58.0
1,99,61.0
1,100,62.0
1,101,58.0
1,102,67.0
1,103,58.0
1,104,61.0
1,105,61.0
1,106,61.0
1,107,62.0
1,108,65.0
1,109,66.0
1,110,67.0
1,111,70.0
1,112,79.0
1,113,81.0
1,114,82.0
1,115,72.0
1,116,74.0
1,117,75.0
1,118,74.0
1,119,74.0
1,120,75.0
1,121,76.0
1,122,77.0
1,123,79.0
1,124,81.0
1,125,86.0
1,126,88.0
1,127,89.0
1,128,78.0
1,129,79.0
1,130,80.0
1,131,86.0
1,132,87.0
1,133,91.0
1,134,92.0
1,135,81.0
1,136,84.0
1,137,84.0
1,138,85.0
1,139,86.0
1,140,87.0
1,141,89.0
1,142,95.0
1,143,96.0
1,144,97.0
1,145,86.0
1,146,87.0
1,147,87.0
1,148,87.0
1,149,87.0
1,150,87.0
1,151,87.0
1,152,87.0
1,153,88.0
1,154,88.0
1,155,88.0
1,156,88.0
1,157,89.0
1,158,89.0
1,159,90.0
1,160,90.0
1,161,91.0
1,162,91.0
1,163,92.0
1,164,92.0
1,165,94.0
1,166,94.0
1,167,94.0
1,168,96.0
1,169,96.0
1,170,96.0
1,171,101.0
1,172,94.0
1,173,97.0
1,174,97.0
1,175,98.0
1,176,98.0
1,177,98.0
1,178,106.0
1,179,107.0
1,180,109.0
1,181,102.0
1,182,103.0
1,183,103.0
1,184,103.0
1,185,104.0
1,186,106.0
1,187,110.0
1,188,112.0
1,189,104.0
1,190,107.0
1,191,107.0
1,192,107.0
1,193,108.0
1,194,108.0
1,195,111.0
1,196,111.0
1,197,111.0
1,198,109.0
1,199,116.0
1,200,122.0
1,201,123.0
1,202,126.0
1,203,120.0
1,204,120.0
1,205,120.0
1,206,120.0
1,207,121.0
1,208,121.0
1,209,123.0
1,210,123.0
1,211,126.0
