from,to,dist
1,2,33.0
1,3,15.0
1,4,32.0
1,5,32.0
1,6,25.0
1,7,21.0
1,8,32.0
1,9,18.0
1,10,16.0
1,11,26.0
1,12,17.0
1,13,26.0
1,14,47.0
1,15,45.0
1,16,42.0
1,17,41.0
1,18,23.0
1,19,28.0
1,20,16.0
1,21,29.0
1,22,39.0
1,23,46.0
1,24,28.0
1,25,38.0
1,26,19.0
1,27,11.0
1,28,12.0
1,29,24.0
1,30,11.0
1,31,10.0
1,32,21.0
1,33,12.0
1,34,25.0
1,35,27.0
1,36,41.0
1,37,36.0
1,38,57.0
1,39,42.0
1,40,24.0
1,41,42.0
1,42,41.0
1,43,49.0
1,44,46.0
1,45,37.0
1,46,39.0
1,47,34.0
1,48,28.0
1,49,40.0
1,50,6.0
1,51,12.0
1,52,15.0
1,53,18.0
1,54,26.0
1,55,34.0
1,56,39.0
1,57,38.0
1,58,24.0
1,59,32.0
1,60,28.0
1,61,38.0
1,62,19.0
1,63,24.0
1,64,38.0
1,65,35.0
1,66,25.0
1,67,51.0
1,68,18.0
1,69,4.0
1,70,8.0
1,71,25.0
1,72,34.0
1,73,32.0
1,74,36.0
1,75,39.0
1,76,11.0
1,77,13.0
1,78,20.0
1,79,16.0
1,80,19.0
1,81,15.0
1,82,26.0
1,83,30.0
1,84,35.0
1,85,37.0
1,86,48.0
1,87,34.0
1,88,15.0
1,89,21.0
1,90,21.0
1,91,40.0
1,92,33.0
1,93,34.0
1,94,27.0
1,95,30.0
1,96,29.0
1,97,32.0
1,98,36.0
1,99,31.0
1,100,39.0
1,101,15.0
2,3,34.0
2,4,20.0
2,5,24.0
2,6,16.0
2,7,36.0
2,8,36.0
2,9,47.0
2,10,43.0
2,11,50.0
2,12,23.0
2,13,9.0
2,14,21.0
2,15,13.0
2,16,25.0
2,17,33.0
2,18,27.0
2,19,47.0
2,20,49.0
2,21,10.0
2,22,12.0
2,23,23.0
2,24,35.0
2,25,30.0
2,26,16.0
2,27,23.0
2,28,21.0
2,29,38.0
2,30,43.0
2,31,35.0
2,32,52.0
2,33,39.0
2,34,48.0
2,35,56.0
2,36,54.0
2,37,15.0
2,38,32.0
2,39,25.0
2,40,9.0
2,41,12.0
2,42,12.0
2,43,18.0
2,44,24.0
2,45,36.0
2,46,45.0
2,47,47.0
2,48,41.0
2,49,59.0
2,50,32.0
2,51,43.0
2,52,27.0
2,53,14.0
2,54,25.0
2,55,29.0
2,56,19.0
2,57,6.0
2,58,9.0
2,59,16.0
2,60,25.0
2,61,24.0
2,62,42.0
2,63,53.0
2,64,63.0
2,65,66.0
2,66,58.0
2,67,34.0
2,68,30.0
2,69,30.0
2,70,39.0
2,71,56.0
2,72,12.0
2,73,9.0
2,74,12.0
2,75,15.0
2,76,29.0
2,77,32.0
2,78,44.0
2,79,38.0
2,80,29.0
2,81,42.0
2,82,36.0
2,83,29.0
2,84,28.0
2,85,20.0
2,86,31.0
2,87,7.0
2,88,36.0
2,89,20.0
2,90,50.0
2,91,20.0
2,92,14.0
2,93,18.0
2,94,13.0
2,95,12.0
2,96,16.0
2,97,11.0
2,98,16.0
2,99,17.0
2,100,17.0
2,101,18.0
3,4,25.0
3,5,43.0
3,6,34.0
3,7,35.0
3,8,45.0
3,9,15.0
3,10,29.0
3,11,40.0
3,12,11.0
3,13,32.0
3,14,53.0
3,15,47.0
3,16,51.0
3,17,52.0
3,18,35.0
3,19,43.0
3,20,22.0
3,21,27.0
3,22,36.0
3,23,40.0
3,24,14.0
3,25,27.0
3,26,18.0
3,27,21.0
3,28,16.0
3,29,9.0
3,30,21.0
3,31,25.0
3,32,31.0
3,33,7.0
3,34,14.0
3,35,22.0
3,36,55.0
3,37,43.0
3,38,64.0
3,39,33.0
3,40,25.0
3,41,40.0
3,42,45.0
3,43,53.0
3,44,54.0
3,45,49.0
3,46,53.0
3,47,48.0
3,48,43.0
3,49,54.0
3,50,8.0
3,51,14.0
3,52,28.0
3,53,23.0
3,54,16.0
3,55,23.0
3,56,33.0
3,57,40.0
3,58,27.0
3,59,40.0
3,60,40.0
3,61,48.0
3,62,34.0
3,63,37.0
3,64,51.0
3,65,33.0
3,66,29.0
3,67,42.0
3,68,6.0
3,69,18.0
3,70,21.0
3,71,23.0
3,72,30.0
3,73,30.0
3,74,33.0
3,75,35.0
3,76,7.0
3,77,3.0
3,78,9.0
3,79,4.0
3,80,8.0
3,81,9.0
3,82,40.0
3,83,42.0
3,84,46.0
3,85,45.0
3,86,58.0
3,87,38.0
3,88,30.0
3,89,31.0
3,90,33.0
3,91,48.0
3,92,40.0
3,93,43.0
3,94,34.0
3,95,37.0
3,96,38.0
3,97,38.0
3,98,43.0
3,99,40.0
3,100,46.0
3,101,22.0
4,5,41.0
4,6,32.0
4,7,46.0
4,8,51.0
4,9,40.0
4,10,47.0
4,11,57.0
4,12,16.0
4,13,25.0
4,14,41.0
4,15,29.0
4,16,45.0
4,17,51.0
4,18,40.0
4,19,57.0
4,20,46.0
4,21,10.0
4,22,14.0
4,23,15.0
4,24,18.0
4,25,10.0
4,26,14.0
4,27,28.0
4,28,22.0
4,29,24.0
4,30,43.0
4,31,40.0
4,32,53.0
4,33,32.0
4,34,36.0
4,35,46.0
4,36,66.0
4,37,35.0
4,38,52.0
4,39,9.0
4,40,16.0
4,41,18.0
4,42,32.0
4,43,36.0
4,44,44.0
4,45,52.0
4,46,60.0
4,47,59.0
4,48,53.0
4,49,69.0
4,50,28.0
4,51,38.0
4,52,36.0
4,53,21.0
4,54,9.0
4,55,9.0
4,56,8.0
4,57,24.0
4,58,20.0
4,59,34.0
4,60,40.0
4,61,43.0
4,62,49.0
4,63,56.0
4,64,70.0
4,65,57.0
4,66,53.0
4,67,19.0
4,68,19.0
4,69,32.0
4,70,40.0
4,71,48.0
4,72,9.0
4,73,11.0
4,74,11.0
4,75,11.0
4,76,23.0
4,77,23.0
4,78,33.0
4,79,28.0
4,80,17.0
4,81,34.0
4,82,48.0
4,83,44.0
4,84,45.0
4,85,39.0
4,86,51.0
4,87,27.0
4,88,43.0
4,89,33.0
4,90,53.0
4,91,40.0
4,92,33.0
4,93,37.0
4,94,30.0
4,95,30.0
4,96,34.0
4,97,30.0
4,98,36.0
4,99,36.0
4,100,37.0
4,101,25.0
5,6,10.0
5,7,21.0
5,8,14.0
5,9,50.0
5,10,34.0
5,11,35.0
5,12,35.0
5,13,16.0
5,14,20.0
5,15,29.0
5,16,11.0
5,17,10.0
5,18,11.0
5,19,30.0
5,20,46.0
5,21,32.0
5,22,36.0
5,23,47.0
5,24,50.0
5,25,51.0
5,26,30.0
5,27,22.0
5,28,27.0
5,29,50.0
5,30,39.0
5,31,27.0
5,32,44.0
5,33,44.0
5,34,56.0
5,35,59.0
5,36,33.0
5,37,11.0
5,38,27.0
5,39,48.0
5,40,25.0
5,41,35.0
5,42,20.0
5,43,28.0
5,44,16.0
5,45,12.0
5,46,22.0
5,47,27.0
5,48,22.0
5,49,39.0
5,50,36.0
5,51,44.0
5,52,18.0
5,53,22.0
5,54,42.0
5,55,49.0
5,56,42.0
5,57,25.0
5,58,21.0
5,59,8.0
5,60,4.0
5,61,7.0
5,62,29.0
5,63,41.0
5,64,47.0
5,65,66.0
5,66,55.0
5,67,58.0
5,68,42.0
5,69,28.0
5,70,34.0
5,71,57.0
5,72,35.0
5,73,32.0
5,74,35.0
5,75,39.0
5,76,36.0
5,77,40.0
5,78,51.0
5,79,46.0
5,80,42.0
5,81,47.0
5,82,17.0
5,83,7.0
5,84,4.0
5,85,8.0
5,86,16.0
5,87,18.0
5,88,25.0
5,89,12.0
5,90,40.0
5,91,11.0
5,92,11.0
5,93,7.0
5,94,11.0
5,95,12.0
5,96,8.0
5,97,13.0
5,98,10.0
5,99,6.0
5,100,12.0
5,101,21.0
6,7,21.0
6,8,20.0
6,9,42.0
6,10,30.0
6,11,35.0
6,12,25.0
6,13,7.0
6,14,22.0
6,15,25.0
6,16,18.0
6,17,20.0
6,18,11.0
6,19,32.0
6,20,40.0
6,21,22.0
6,22,28.0
6,23,39.0
6,24,40.0
6,25,41.0
6,26,20.0
6,27,14.0
6,28,17.0
6,29,41.0
6,30,34.0
6,31,23.0
6,32,40.0
6,33,36.0
6,34,47.0
6,35,52.0
6,36,38.0
6,37,11.0
6,38,32.0
6,39,39.0
6,40,16.0
6,41,29.0
6,42,18.0
6,43,27.0
6,44,21.0
6,45,21.0
6,46,29.0
6,47,31.0
6,48,25.0
6,49,42.0
6,50,28.0
6,51,37.0
6,52,13.0
6,53,12.0
6,54,32.0
6,55,39.0
6,56,33.0
6,57,19.0
6,58,12.0
6,59,7.0
6,60,9.0
6,61,14.0
6,62,28.0
6,63,39.0
6,64,48.0
6,65,60.0
6,66,49.0
6,67,49.0
6,68,32.0
6,69,21.0
6,70,29.0
6,71,50.0
6,72,26.0
6,73,23.0
6,74,27.0
6,75,31.0
6,76,27.0
6,77,31.0
6,78,42.0
6,79,37.0
6,80,32.0
6,81,38.0
6,82,20.0
6,83,13.0
6,84,14.0
6,85,12.0
6,86,24.0
6,87,12.0
6,88,22.0
6,89,5.0
6,90,37.0
6,91,15.0
6,92,9.0
6,93,9.0
6,94,3.0
6,95,6.0
6,96,4.0
6,97,9.0
6,98,11.0
6,99,6.0
6,100,14.0
6,101,11.0
7,8,12.0
7,9,36.0
7,10,14.0
7,11,15.0
7,12,34.0
7,13,27.0
7,14,40.0
7,15,46.0
7,16,32.0
7,17,25.0
7,18,10.0
7,19,11.0
7,20,29.0
7,21,39.0
7,22,47.0
7,23,57.0
7,24,47.0
7,25,54.0
7,26,32.0
7,27,18.0
7,28,25.0
7,29,45.0
7,30,22.0
7,31,11.0
7,32,24.0
7,33,33.0
7,34,45.0
7,35,46.0
7,36,21.0
7,37,30.0
7,38,47.0
7,39,55.0
7,40,32.0
7,41,48.0
7,42,38.0
7,43,47.0
7,44,37.0
7,45,18.0
7,46,18.0
7,47,13.0
7,48,7.0
7,49,23.0
7,50,27.0
7,51,30.0
7,52,10.0
7,53,25.0
7,54,43.0
7,55,51.0
7,56,50.0
7,57,40.0
7,58,29.0
7,59,26.0
7,60,16.0
7,61,27.0
7,62,9.0
7,63,20.0
7,64,27.0
7,65,50.0
7,66,37.0
7,67,65.0
7,68,38.0
7,69,17.0
7,70,18.0
7,71,41.0
7,72,43.0
7,73,41.0
7,74,45.0
7,75,49.0
7,76,30.0
7,77,34.0
7,78,41.0
7,79,37.0
7,80,38.0
7,81,35.0
7,82,6.0
7,83,14.0
7,84,21.0
7,85,28.0
7,86,36.0
7,87,33.0
7,88,6.0
7,89,16.0
7,90,20.0
7,91,31.0
7,92,28.0
7,93,26.0
7,94,24.0
7,95,26.0
7,96,23.0
7,97,29.0
7,98,29.0
7,99,24.0
7,100,32.0
7,101,21.0
8,9,48.0
8,10,26.0
8,11,24.0
8,12,41.0
8,13,27.0
8,14,33.0
8,15,43.0
8,16,23.0
8,17,14.0
8,18,10.0
8,19,18.0
8,20,41.0
8,21,42.0
8,22,48.0
8,23,59.0
8,24,56.0
8,25,60.0
8,26,37.0
8,27,25.0
8,28,32.0
8,29,54.0
8,30,34.0
8,31,23.0
8,32,36.0
8,33,44.0
8,34,56.0
8,35,57.0
8,36,19.0
8,37,25.0
8,38,38.0
8,39,59.0
8,40,35.0
8,41,48.0
8,42,34.0
8,43,42.0
8,44,29.0
8,45,6.0
8,46,9.0
8,47,13.0
8,48,9.0
8,49,25.0
8,50,37.0
8,51,42.0
8,52,17.0
8,53,30.0
8,54,49.0
8,55,57.0
8,56,53.0
8,57,38.0
8,58,31.0
8,59,22.0
8,60,11.0
8,61,19.0
8,62,21.0
8,63,31.0
8,64,34.0
8,65,62.0
8,66,49.0
8,67,69.0
8,68,46.0
8,69,27.0
8,70,30.0
8,71,53.0
8,72,46.0
8,73,43.0
8,74,47.0
8,75,50.0
8,76,39.0
8,77,43.0
8,78,52.0
8,79,47.0
8,80,46.0
8,81,46.0
8,82,6.0
8,83,7.0
8,84,12.0
8,85,22.0
8,86,26.0
8,87,31.0
8,88,18.0
8,89,18.0
8,90,32.0
8,91,25.0
8,92,24.0
8,93,21.0
8,94,23.0
8,95,24.0
8,96,20.0
8,97,27.0
8,98,24.0
8,99,20.0
8,100,26.0
8,101,26.0
9,10,25.0
9,11,35.0
9,12,25.0
9,13,43.0
9,14,64.0
9,15,60.0
9,16,60.0
9,17,58.0
9,18,40.0
9,19,40.0
9,20,11.0
9,21,41.0
9,22,51.0
9,23,55.0
9,24,27.0
9,25,41.0
9,26,32.0
9,27,28.0
9,28,27.0
9,29,20.0
9,30,15.0
9,31,25.0
9,32,22.0
9,33,8.0
9,34,11.0
9,35,9.0
9,36,53.0
9,37,53.0
9,38,74.0
9,39,48.0
9,40,38.0
9,41,55.0
9,42,57.0
9,43,65.0
9,44,64.0
9,45,54.0
9,46,54.0
9,47,47.0
9,48,43.0
9,49,50.0
9,50,15.0
9,51,6.0
9,52,33.0
9,53,34.0
9,54,31.0
9,55,38.0
9,56,48.0
9,57,53.0
9,58,39.0
9,59,50.0
9,60,46.0
9,61,56.0
9,62,31.0
9,63,29.0
9,64,43.0
9,65,18.0
9,66,14.0
9,67,56.0
9,68,21.0
9,69,22.0
9,70,18.0
9,71,8.0
9,72,45.0
9,73,44.0
9,74,48.0
9,75,49.0
9,76,19.0
9,77,17.0
9,78,10.0
9,79,12.0
9,80,23.0
9,81,6.0
9,82,42.0
9,83,47.0
9,84,53.0
9,85,54.0
9,86,66.0
9,87,50.0
9,88,30.0
9,89,38.0
9,90,25.0
9,91,57.0
9,92,50.0
9,93,52.0
9,94,44.0
9,95,47.0
9,96,47.0
9,97,49.0
9,98,53.0
9,99,49.0
9,100,56.0
9,101,32.0
10,11,11.0
10,12,32.0
10,13,35.0
10,14,52.0
10,15,55.0
10,16,45.0
10,17,39.0
10,18,22.0
10,19,15.0
10,20,16.0
10,21,43.0
10,22,52.0
10,23,60.0
10,24,43.0
10,25,53.0
10,26,34.0
10,27,21.0
10,28,25.0
10,29,38.0
10,30,10.0
10,31,8.0
10,32,10.0
10,33,24.0
10,34,35.0
10,35,33.0
10,36,28.0
10,37,41.0
10,38,60.0
10,39,57.0
10,40,36.0
10,41,54.0
10,42,48.0
10,43,57.0
10,44,50.0
10,45,33.0
10,46,30.0
10,47,22.0
10,48,19.0
10,49,25.0
10,50,21.0
10,51,19.0
10,52,17.0
10,53,30.0
10,54,41.0
10,55,50.0
10,56,53.0
10,57,48.0
10,58,35.0
10,59,37.0
10,60,29.0
10,61,40.0
10,62,6.0
10,63,9.0
10,64,23.0
10,65,36.0
10,66,23.0
10,67,66.0
10,68,33.0
10,69,15.0
10,70,8.0
10,71,28.0
10,72,47.0
10,73,45.0
10,74,50.0
10,75,53.0
10,76,26.0
