time,dist,path
299.2610411606729,1815.0,47->81->88->26->30->7->51->82->13->64->50->70->33->78->23->99->17->75->24->28->0->16->35->83->22->38->54->14->56->73->71->4->59->5->76->32->69->87->2->80->34->77->29->65->49->92->36->95->94->100->96->86->66->53->3->25->21->67->27->20->74->55->68->9->89->19->31->8->52->58->15->60->91->39->11->79->72->1->42->97->84->98->48->63->62->57->12->93->40->41->90->43->37->85->44->6->61->10->18->46->45
330.43283941037953,1697.0,30->87->61->4->75->49->2->80->50->0->51->82->60->90->100->29->76->78->66->33->32->21->91->85->43->15->99->86->27->52->5->12->72->54->81->18->34->77->28->26->93->97->41->37->13->83->59->36->58->40->22->24->73->55->79->67->19->23->42->14->96->74->38->53->71->25->57->56->95->94->84->92->98->17->7->6->45->46->47->68->39->1->11->8->69->44->16->88->20->3->70->64->65->31->89->10->35->48->63->62->9
292.46607108414173,1766.0,27->100->58->41->4->26->67->36->97->86->94->46->35->82->25->57->16->90->42->1->49->70->65->29->68->20->74->22->55->23->24->87->95->13->21->71->39->52->85->37->12->93->98->83->47->81->62->10->31->9->61->88->3->76->28->77->80->50->17->7->45->91->60->15->44->48->63->89->59->84->92->43->5->79->53->72->96->99->30->6->18->69->0->75->11->40->73->51->19->64->34->8->32->56->14->66->38->54->33->78->2
312.57068565674126,1617.0,36->97->12->25->5->99->95->90->56->22->74->21->92->4->72->73->11->93->43->85->13->15->98->82->44->87->63->7->81->45->71->79->3->54->100->39->20->75->78->76->67->26->27->68->29->8->50->17->51->88->84->60->48->35->94->96->49->9->69->18->10->62->89->46->19->33->28->32->2->57->86->1->52->53->30->59->83->16->37->42->91->58->61->47->6->0->70->34->64->31->65->80->77->23->24->66->38->55->40->14->41
317.1091415081173,1691.0,43->37->85->60->78->39->20->72->11->52->4->61->15->100->70->64->89->31->25->71->74->66->38->14->56->22->53->28->62->63->10->18->50->65->80->34->26->12->57->96->94->17->7->86->99->36->84->58->82->5->91->97->98->87->51->59->16->45->0->2->8->69->9->95->88->93->27->68->81->35->46->47->48->75->54->24->3->23->67->76->49->19->6->44->83->92->13->42->40->21->29->30->32->77->33->79->55->73->1->41->90
309.91103307157755,1694.0,90->53->34->28->54->23->86->52->49->69->19->89->63->27->83->16->40->14->43->97->59->5->12->47->6->39->72->22->66->58->1->74->76->32->80->8->67->96->99->68->0->2->50->87->81->4->95->91->98->82->7->17->93->30->61->31->29->77->38->73->21->55->71->88->18->10->51->26->57->100->25->79->65->64->70->33->24->3->75->78->94->92->15->85->37->41->36->84->60->44->45->46->35->48->62->9->11->20->56->42->13
293.1015009954572,1753.0,78->47->52->23->36->15->13->42->91->98->17->44->95->58->92->94->68->0->31->27->39->93->57->12->56->60->4->96->5->88->21->71->40->72->38->28->73->54->67->50->65->49->69->30->61->90->41->1->55->51->81->35->18->8->32->53->24->34->64->70->97->99->43->37->16->87->63->89->19->29->59->84->14->20->11->75->76->25->100->26->6->62->10->48->45->7->46->9->80->77->33->3->66->22->74->86->85->83->82->79->2
318.91025050729513,1628.0,43->5->68->53->20->52->98->26->49->3->55->63->48->51->6->44->16->85->15->47->87->50->33->67->41->57->0->69->32->78->2->28->34->77->54->71->73->56->13->99->92->97->30->9->36->94->79->23->29->75->39->76->27->100->12->91->86->31->89->21->40->66->74->72->1->96->88->59->4->83->95->58->60->84->90->82->45->81->35->46->18->61->10->62->19->65->64->70->8->80->93->7->17->25->11->24->38->22->14->42->37
281.4082101471722,1800.0,98->14->99->84->28->67->35->46->48->45->19->54->73->41->4->7->42->13->43->9->62->31->8->95->47->61->69->27->49->44->81->72->5->92->93->100->68->16->85->15->60->79->30->89->10->51->88->17->29->70->50->77->80->65->26->12->86->66->24->38->1->56->0->6->90->37->83->82->59->18->63->87->58->94->57->39->20->53->23->33->34->64->75->25->71->74->21->40->22->55->3->76->78->32->2->11->52->96->91->36->97
296.38920970633626,1808.0,82->51->9->10->18->52->69->19->53->41->36->94->100->72->23->68->80->89->81->86->37->97->48->63->45->46->6->61->79->66->22->98->42->1->88->26->70->75->54->3->99->95->5->12->20->11->57->17->47->7->44->43->91->84->92->56->21->55->73->87->30->62->35->96->90->59->65->64->50->32->2->28->33->67->78->14->13->58->93->40->71->74->38->24->27->49->76->77->8->34->31->29->0->25->39->4->60->15->85->16->83
303.5387066565454,1661.0,3->41->21->73->98->51->5->96->69->28->2->23->53->90->72->71->22->55->29->27->92->95->61->40->66->20->52->25->67->87->6->82->84->94->86->14->42->1->59->44->16->45->9->35->48->63->12->56->74->39->79->11->50->33->49->77->76->88->46->7->17->4->85->15->37->13->99->36->91->57->58->93->100->26->0->30->81->47->89->19->65->64->34->70->8->18->10->62->31->32->80->78->75->68->83->60->97->43->38->24->54
297.94600217975676,1859.0,28->51->44->82->20->71->12->72->85->63->35->62->6->61->46->25->40->54->21->74->66->52->75->27->19->32->69->77->18->7->16->84->94->100->50->34->9->29->31->36->91->39->56->33->65->64->4->60->97->47->81->86->13->98->99->1->68->30->87->88->5->37->41->90->15->45->48->10->89->95->92->42->14->43->59->83->17->93->55->22->73->96->58->57->26->79->67->76->2->49->0->11->53->3->38->24->23->78->80->8->70
308.7108130156994,1816.0,96->88->32->35->46->45->68->12->55->49->9->31->27->26->99->82->86->98->44->16->90->39->56->40->1->72->100->29->70->50->28->52->91->58->79->78->11->57->59->89->62->69->36->37->42->97->5->74->21->17->81->65->8->34->33->77->0->61->95->92->94->93->76->2->3->83->84->60->4->41->54->24->23->67->51->47->6->7->22->66->38->53->30->87->10->18->48->63->19->64->80->75->25->20->71->73->14->13->43->85->15
319.8809542953968,1719.0,38->82->30->10->31->4->90->16->7->17->75->32->52->13->99->25->27->39->93->9->63->46->95->83->94->42->37->97->59->40->21->12->98->6->18->61->49->69->87->51->5->47->48->96->73->66->3->79->11->74->41->86->14->56->28->77->76->57->58->100->53->20->72->71->55->22->1->91->36->15->43->44->81->45->0->80->8->33->78->68->26->88->92->60->84->85->35->62->89->29->70->67->2->50->19->65->64->34->23->54->24
319.02411883324385,1733.0,55->76->50->29->9->33->54->79->26->19->85->99->88->77->80->8->93->83->60->58->13->75->2->49->0->65->32->28->34->23->78->67->27->53->22->40->14->21->84->17->7->18->48->61->89->69->31->82->94->12->56->96->98->92->46->16->68->11->20->86->95->51->47->87->30->35->45->6->81->62->70->64->100->97->15->90->4->59->63->10->44->37->43->41->42->36->91->5->1->3->38->66->24->25->52->57->39->72->71->73->74
295.23491323553026,1611.0,13->97->4->38->78->83->21->40->11->55->72->100->86->12->1->20->41->5->15->85->30->61->9->10->16->88->52->57->71->27->51->45->17->93->77->2->28->23->67->25->39->14->56->42->68->31->50->29->49->0->26->87->81->47->63->70->64->65->89->82->44->46->35->7->59->60->84->36->91->58->98->94->95->99->96->66->54->3->53->24->74->22->73->76->75->69->6->18->48->62->19->8->32->80->34->33->79->92->90->43->37
312.4815985057503,1497.0,68->93->86->1->58->59->4->98->52->100->37->44->60->97->91->42->73->40->20->99->84->45->7->61->9->67->2->39->57->94->36->43->41->25->66->55->38->3->69->31->89->90->15->16->81->35->47->62->19->95->13->85->92->96->21->22->24->74->14->56->72->71->53->54->23->75->27->12->88->28->78->8->50->65->29->79->11->76->49->26->87->6->51->5->83->82->17->46->48->63->18->10->30->80->77->33->34->64->70->32->0
296.6551269516349,1739.0,35->45->91->34->8->18->61->80->78->11->12->86->42->68->50->9->51->57->41->99->13->6->62->31->17->16->60->82->59->38->66->73->44->7->27->53->2->81->4->30->87->47->84->83->5->21->40->56->96->95->1->19->29->65->70->64->89->75->22->71->72->25->97->58->26->49->76->67->52->94->98->92->36->15->93->39->20->24->55->3->79->77->32->100->88->90->43->85->37->14->74->54->23->28->33->0->69->10->63->48->46
