time,dist,path
7.90149262547493,2605.0,30->80->68->62->91->85->36->86->71->11->83->65->31->51->35->8->79->37->46->10->4->59->25->73->53->84->82->87->57->50->52->66->75->5->39->20->22->70->24->74->28->54->67->18->45->48->69->63->49->19->34->95->92->15->56->27->14->13->55->26->72->41->29->77->43->60->93->100->38->42->21->94->76->78->32->2->33->12->40->58->98->1->23->3->99->44->96->97->61->47->17->7->6->88->90->16->81->64->89->0->9
8.546778550371528,2598.0,59->36->88->67->50->80->34->6->75->23->11->31->9->98->12->40->53->54->95->91->79->1->56->8->15->99->85->49->28->78->32->5->44->52->96->27->13->87->93->14->3->63->83->82->29->51->0->86->37->47->58->97->94->17->35->41->71->25->30->68->84->60->90->69->38->100->46->45->21->39->65->64->19->26->20->66->73->22->55->42->2->33->77->74->4->76->92->43->18->89->16->7->48->62->10->61->70->24->72->57->81
9.22659463994205,2696.0,78->76->79->36->94->97->10->62->14->81->56->3->23->32->33->48->89->24->85->13->17->90->40->50->87->47->77->59->58->84->12->46->6->98->91->57->22->41->45->63->11->72->34->70->16->92->39->55->64->100->73->53->42->60->49->25->38->54->74->15->4->0->88->52->44->7->8->80->69->18->71->20->31->82->83->99->95->67->21->66->86->93->43->37->26->5->96->68->30->35->19->29->51->27->61->65->9->2->1->28->75
8.675108008086681,2576.0,67->53->17->85->5->42->20->21->3->36->24->77->78->94->89->26->56->81->18->43->14->59->100->32->75->54->97->74->41->62->65->2->46->35->83->4->44->31->19->45->6->50->30->63->80->52->92->91->86->96->12->73->66->13->8->49->95->82->68->23->22->79->25->7->58->93->37->47->87->0->38->72->11->51->88->76->48->34->28->71->84->90->16->10->61->64->33->1->60->15->99->98->57->39->70->9->69->29->40->55->27
8.62935927696526,2534.0,20->25->67->5->84->44->30->49->0->27->64->3->1->24->66->8->32->90->15->39->38->53->78->34->69->82->85->50->71->18->63->35->48->57->9->92->74->54->100->61->28->87->47->68->4->42->86->7->52->83->96->40->56->41->73->21->99->43->62->80->31->10->89->13->14->75->91->22->72->93->95->94->46->29->76->6->45->81->59->70->33->65->36->98->58->88->16->60->97->79->77->23->2->51->19->26->11->17->12->37->55
7.973777117207646,2524.0,66->67->79->38->71->36->98->41->31->25->73->95->53->39->21->47->4->62->29->70->51->3->14->86->49->75->57->30->32->1->96->2->50->87->46->18->89->64->65->17->61->27->28->55->85->88->93->10->34->74->100->23->68->7->99->90->5->48->9->6->15->58->20->24->77->44->60->83->12->84->45->26->94->11->78->54->52->72->0->19->69->63->35->81->82->76->22->56->92->13->80->33->8->40->91->16->59->97->43->37->42
8.323398044332862,2497.0,78->2->0->99->76->79->23->72->12->18->70->14->1->5->56->55->52->7->91->61->65->29->100->37->13->31->10->68->22->96->98->77->11->71->74->41->38->86->16->39->27->30->63->28->8->83->58->15->26->67->21->90->44->87->35->95->57->88->92->40->43->42->20->85->97->59->25->66->73->36->48->49->80->24->3->53->54->34->64->75->45->89->62->82->60->84->6->69->19->50->32->9->93->17->51->81->47->46->4->94->33
8.171904081478715,2597.0,67->100->93->11->50->22->28->99->57->71->61->90->91->72->12->59->36->6->7->47->85->39->86->30->51->98->60->29->79->31->92->58->95->41->56->68->40->42->53->14->44->83->1->15->9->64->80->27->70->19->26->33->87->81->13->0->75->74->37->5->4->94->32->89->46->2->10->8->78->76->49->52->21->84->96->66->23->77->69->62->17->16->63->20->38->55->73->97->43->82->54->25->24->3->88->45->35->18->48->65->34
8.020511182025075,2439.0,5->86->13->27->49->25->24->21->18->99->48->73->75->57->31->64->70->77->52->68->66->44->37->39->23->55->92->0->91->28->74->71->20->88->97->2->76->11->54->38->72->14->42->85->43->90->96->17->58->16->95->53->1->79->69->87->29->89->63->83->84->4->82->10->94->93->32->6->51->59->50->80->67->78->8->33->34->61->30->56->22->62->35->47->12->81->98->19->65->26->9->3->40->41->15->7->45->46->60->100->36
7.889187170192599,2509.0,26->87->2->57->72->84->76->0->98->59->92->71->40->81->97->100->5->62->18->88->45->91->36->51->42->61->89->69->37->44->17->82->47->4->12->41->54->79->38->20->65->70->50->74->27->68->39->94->86->73->11->80->95->28->30->35->46->75->99->58->21->85->96->78->52->25->23->67->55->49->8->15->16->93->13->22->66->24->43->6->9->29->63->48->7->60->83->90->3->10->31->64->32->19->33->56->1->14->53->77->34
8.545575702562928,2503.0,76->84->35->52->17->96->15->16->95->100->39->78->89->64->61->9->72->82->18->67->54->90->81->83->92->27->4->46->69->24->79->12->93->94->5->30->88->87->51->58->34->70->0->98->74->3->1->53->66->23->28->63->6->45->97->38->59->10->44->73->56->37->40->55->14->21->36->43->85->19->47->7->32->25->91->22->71->11->2->57->20->68->41->13->60->99->49->65->62->48->31->80->77->33->86->42->26->75->8->29->50
8.423594823107123,2432.0,71->53->72->23->6->18->46->29->64->10->28->69->30->83->99->100->51->38->5->97->36->55->73->7->67->50->87->45->96->4->37->80->0->78->65->25->75->15->52->98->77->48->63->81->47->61->9->31->82->16->90->13->94->40->1->43->60->32->89->59->35->93->27->34->62->19->68->95->91->56->86->20->33->8->79->26->11->76->39->3->2->22->12->84->92->14->85->57->21->54->66->24->74->70->49->88->17->44->41->42->58
8.213391251862049,2671.0,46->26->24->5->58->23->53->60->84->74->3->66->21->65->8->100->0->27->45->51->34->57->76->78->41->97->16->48->35->17->4->82->15->12->32->63->52->19->18->43->55->31->70->94->50->64->72->11->37->13->42->40->95->87->6->1->25->68->80->36->86->93->73->33->69->83->90->99->98->85->39->96->88->59->9->91->38->28->22->54->29->89->20->56->77->75->7->92->81->30->2->67->49->79->71->14->44->62->10->47->61
8.742010433226824,2510.0,57->1->43->98->90->59->33->18->0->26->6->44->94->62->91->58->36->85->3->73->13->60->22->49->80->7->48->35->17->83->82->88->55->74->64->68->76->29->20->24->34->65->9->70->41->95->10->47->51->89->31->63->50->19->4->40->46->53->38->56->71->21->39->84->100->52->25->8->28->5->42->93->30->67->79->11->69->27->77->23->2->78->54->87->81->37->14->72->15->32->45->61->75->66->92->16->99->86->97->96->12
7.753417244181037,2568.0,62->34->64->35->33->58->84->38->90->88->69->70->7->5->52->39->61->57->55->22->14->87->32->56->30->79->54->95->81->83->45->2->12->96->59->66->71->17->1->73->74->21->77->86->43->4->31->78->50->93->100->41->6->67->23->42->13->15->36->98->85->16->97->28->24->27->99->94->26->29->9->49->68->40->82->91->18->63->10->48->47->92->60->44->37->76->11->8->3->72->20->53->25->75->80->0->46->89->65->51->19
