time,dist,path
53.22643047012389,2218.0,59->82->5->26->33->28->65->61->34->45->35->12->95->36->46->47->86->13->79->23->64->8->96->56->75->44->10->9->81->55->40->78->100->24->38->83->7->88->27->69->18->80->76->2->49->1->21->54->42->84->58->60->74->14->52->87->6->4->92->41->37->48->63->31->62->51->29->71->20->90->17->89->70->77->3->73->72->53->39->97->99->22->66->11->50->68->0->67->93->91->43->85->15->16->98->30->19->32->25->57->94
54.91479736752808,2321.0,11->76->10->93->69->77->30->94->14->90->85->15->84->7->62->80->88->41->3->82->97->59->72->25->5->56->96->17->81->36->95->67->50->100->0->89->79->23->33->64->71->1->24->98->92->58->99->2->34->66->20->12->57->21->37->91->40->22->87->53->28->45->43->13->60->39->49->75->44->6->47->18->35->16->4->86->54->38->68->61->32->78->26->65->29->9->70->19->8->31->83->46->48->63->51->27->55->74->73->42->52
55.537335908040404,2205.0,49->68->92->41->62->48->53->1->27->75->30->87->84->54->25->78->79->14->51->26->32->16->43->95->96->20->72->90->36->91->42->56->94->100->88->93->81->46->71->65->77->80->9->6->57->4->17->13->99->39->12->60->11->74->97->86->58->47->63->19->33->64->70->35->82->18->61->22->66->55->21->85->15->98->45->59->52->2->67->69->31->44->40->73->38->3->23->24->37->5->83->7->10->89->29->28->76->0->8->34->50
54.93372642621398,2082.0,34->40->14->81->7->11->25->44->15->16->6->10->62->67->23->76->33->28->4->59->56->57->94->87->26->46->98->17->84->43->85->72->41->97->36->35->83->74->86->47->18->70->2->75->79->80->78->27->29->0->93->99->91->5->82->13->22->58->61->63->48->89->3->90->92->42->12->95->100->49->38->66->21->55->20->24->53->54->71->73->32->50->8->19->9->69->88->37->1->39->45->60->96->52->51->30->68->31->65->77->64
61.86553446575999,2167.0,71->92->84->50->32->34->65->87->43->5->44->49->67->72->33->62->8->2->63->31->64->80->78->75->53->11->9->89->30->96->4->98->58->83->60->16->46->48->18->90->28->77->76->100->81->7->12->59->93->55->38->3->42->86->95->91->82->45->94->70->69->35->61->37->13->6->29->0->20->14->39->1->73->40->79->57->21->56->47->88->10->26->19->68->97->99->51->17->23->25->27->15->85->36->41->74->52->54->24->22->66
59.91005605831742,2118.0,100->69->49->8->30->88->51->91->36->37->41->98->40->99->93->94->52->50->77->67->23->21->32->64->63->68->0->14->33->65->10->31->19->29->25->42->13->54->1->60->47->61->35->45->87->18->81->44->27->9->5->86->96->56->75->2->34->28->78->76->62->6->11->59->84->97->92->55->38->66->24->82->17->48->7->83->89->80->79->3->57->4->16->58->90->72->26->46->39->12->85->15->43->95->73->74->22->71->20->53->70
53.62511569261551,2133.0,7->49->11->12->37->42->99->86->77->53->79->76->32->56->1->87->29->69->85->98->58->83->43->17->46->47->96->40->57->78->2->24->38->52->39->41->36->70->0->50->25->80->33->55->54->67->26->68->31->89->30->23->21->73->5->90->66->28->27->14->97->92->15->74->75->48->45->4->81->9->71->3->59->82->61->51->93->95->91->84->88->16->44->35->10->18->62->65->63->6->19->64->34->8->100->60->13->94->72->22->20
64.30793443135917,2169.0,8->69->68->47->98->81->88->59->10->35->29->87->89->62->49->45->17->39->85->15->12->33->34->83->37->18->82->6->94->5->4->58->90->36->25->21->38->56->41->42->91->52->86->44->7->84->26->30->46->60->16->75->100->13->43->0->53->66->72->67->9->48->93->61->27->11->55->78->3->71->76->28->96->99->95->20->2->54->74->40->24->22->1->92->97->73->14->57->23->79->80->77->32->70->65->64->51->63->31->19->50
56.622158808633685,2235.0,15->92->12->88->5->71->40->29->81->1->51->30->91->73->4->59->11->70->78->24->66->57->52->84->26->65->89->33->75->0->64->32->25->27->49->22->62->6->17->3->96->39->20->86->37->85->44->82->93->99->97->87->47->35->10->18->68->9->45->48->50->36->95->74->54->53->72->16->7->46->77->76->43->60->61->100->79->2->80->67->38->34->8->31->63->19->69->13->56->55->21->28->23->94->90->58->98->42->14->41->83
53.02180769108236,2032.0,97->68->9->69->6->11->54->28->2->19->8->3->22->82->62->25->57->99->16->48->31->18->60->56->93->94->35->59->15->95->32->23->0->45->81->7->75->80->38->67->27->42->74->73->40->55->53->78->77->34->29->65->87->89->63->10->85->43->41->20->71->14->13->72->39->21->1->86->12->88->44->17->30->49->64->46->47->26->70->33->79->76->50->52->5->4->83->61->51->100->66->24->92->91->98->58->36->84->37->90->96
