time,dist,path
262.38174632564187,474695.0,10->32->1->61->56->9->38->53->72->3->66->70->36->73->2->7->14->19->31->12->16->44->35->29->57->45->24->47->64->4->37->54->17->27->74->0->22->75->13->43->30->21->60->39->25->5->23->34->67->65->40->20->48->49->52->55->59->58->42->68->50->6->11->26->41->8->15->33->46->69->71->63->62->51->28->18
265.6923195384443,471247.0,47->64->68->50->23->5->40->56->29->33->43->49->57->60->53->1->18->22->45->10->4->54->38->37->28->32->58->0->30->34->74->44->70->67->20->27->19->46->26->55->65->66->3->7->6->41->21->75->31->36->16->2->39->61->51->72->69->71->62->63->11->48->9->15->35->17->14->13->52->42->12->59->73->24->8->25
315.1100633200258,468658.0,15->35->12->9->57->40->75->0->8->38->52->67->60->36->31->3->19->37->14->27->42->33->58->43->10->63->50->32->47->41->17->65->66->22->59->39->61->56->49->68->1->7->25->54->64->72->28->46->34->45->74->6->30->21->20->11->16->73->71->13->4->24->44->51->23->70->69->48->26->62->55->18->29->53->2->5
256.84387953206897,472752.0,19->45->37->8->3->7->66->55->56->61->75->72->70->68->67->29->17->27->63->6->42->51->57->50->48->59->39->58->24->43->25->11->12->54->64->49->69->22->14->73->44->4->13->38->60->1->23->21->47->40->62->20->52->46->30->5->18->36->9->74->2->32->53->65->28->0->71->41->15->16->26->35->31->34->33->10
245.32547491043806,471422.0,8->29->27->63->15->54->43->51->52->40->6->50->38->32->37->5->73->2->12->13->61->69->34->28->60->4->20->24->18->21->25->67->14->11->36->58->70->41->53->59->68->49->42->48->55->57->64->65->45->47->16->39->10->17->44->46->75->74->56->62->23->1->71->0->30->31->9->33->72->66->26->19->35->3->7->22
243.927577778697,460952.0,11->73->43->69->29->15->5->6->18->8->12->22->61->60->56->30->4->53->59->41->1->14->7->68->51->52->54->63->62->70->36->9->32->17->74->23->45->46->66->28->3->0->42->58->39->16->2->40->75->21->64->57->34->25->10->71->72->33->44->13->50->26->24->37->35->55->65->48->19->49->47->27->67->20->31->38
248.1992005445063,457905.0,57->56->14->37->71->52->3->31->75->22->69->74->55->42->28->35->10->38->51->62->70->8->33->24->20->5->29->48->49->65->53->17->21->19->34->39->15->16->72->59->58->6->1->18->73->13->50->44->27->43->23->25->45->66->30->9->7->36->2->67->68->54->60->63->0->11->32->4->12->26->64->47->46->41->61->40
263.9501420427114,467673.0,71->48->42->0->25->26->22->20->15->21->6->14->16->73->13->23->46->9->32->45->58->64->57->17->10->44->60->55->66->50->65->59->53->18->19->12->72->69->68->43->70->52->75->74->39->7->41->40->34->24->47->3->33->5->30->27->4->63->62->37->36->35->61->56->51->8->28->11->2->49->54->29->67->31->1->38
245.55454860813916,458039.0,8->74->22->60->0->30->27->70->62->56->58->68->64->38->59->17->1->26->3->23->49->50->57->65->69->53->55->51->47->48->41->21->44->42->39->35->29->34->37->15->25->20->75->16->5->33->46->66->67->19->4->73->32->36->7->31->43->24->52->28->2->12->18->40->9->45->72->61->54->11->63->10->14->13->71->6
248.28780337795615,471308.0,48->51->28->56->64->5->7->20->9->24->49->68->72->39->17->11->23->26->74->75->21->55->12->44->60->10->2->47->42->52->65->34->73->3->54->50->53->13->35->59->66->38->45->25->43->1->30->46->69->67->0->27->16->14->29->22->18->32->62->37->40->63->57->33->61->19->15->36->8->31->70->71->6->4->41->58
256.2761442903429,461126.0,44->46->26->71->59->29->57->17->16->14->13->3->48->28->31->34->58->38->39->8->36->12->22->69->45->75->0->20->63->64->61->50->49->42->54->62->25->27->4->65->55->35->52->32->10->66->18->15->30->51->23->53->24->67->68->19->9->21->11->41->33->7->43->47->70->2->5->74->1->60->40->56->72->73->6->37
284.9937961921096,473229.0,42->29->2->0->46->69->54->33->48->70->55->58->60->18->65->9->68->47->49->45->23->44->63->38->31->6->56->13->19->27->66->64->3->34->15->26->41->20->30->1->22->61->35->36->16->39->21->53->17->62->32->72->71->67->10->75->74->4->8->37->7->52->73->25->24->43->50->40->28->11->59->57->51->14->12->5
250.31663711182773,477811.0,0->23->31->18->1->57->54->43->6->17->29->73->21->4->3->75->5->68->28->49->48->33->11->44->64->25->39->50->65->55->24->74->20->46->67->32->41->72->52->2->22->56->38->8->37->69->51->16->15->7->45->9->19->34->40->70->71->62->42->13->27->66->58->63->53->30->12->14->61->35->10->26->60->59->36->47
241.15273325704038,462922.0,8->21->74->45->12->23->29->33->38->43->69->71->61->70->14->40->64->50->63->57->54->65->9->3->19->73->53->44->25->24->18->60->62->15->4->1->5->47->20->10->13->37->16->27->55->56->34->36->2->17->48->66->22->28->68->26->35->46->67->41->51->42->59->39->7->31->49->75->0->30->32->58->6->52->72->11
248.22399837709963,461608.0,7->1->25->26->65->59->47->23->21->10->50->44->45->18->16->32->57->71->54->14->19->4->9->48->68->30->60->55->42->6->39->17->72->40->64->66->51->62->8->67->36->33->56->70->63->74->22->49->58->31->43->34->15->41->53->69->35->11->27->28->2->0->75->5->20->24->46->61->52->37->29->12->38->13->3->73
264.63773448579013,450792.0,15->62->54->11->23->38->14->9->36->8->13->60->4->22->16->55->61->66->49->74->7->30->10->18->58->25->41->2->0->6->24->31->63->45->57->48->43->44->42->52->19->68->67->69->40->56->46->72->51->70->47->75->27->21->20->26->59->39->34->33->37->32->53->64->71->65->50->3->17->12->35->29->28->5->73->1
250.439058188349,466205.0,52->47->69->68->11->27->67->64->66->24->22->55->34->31->5->13->8->29->38->65->10->12->0->20->30->2->36->26->45->35->3->63->37->39->44->23->41->50->51->54->75->74->25->61->16->42->53->4->18->15->28->62->57->43->46->58->70->17->72->33->21->9->1->6->14->49->71->60->59->7->73->19->56->48->32->40
251.96234313957393,467208.0,7->3->31->48->20->43->50->46->72->71->63->60->12->69->45->44->68->25->16->5->41->64->18->15->34->70->2->37->35->13->29->23->17->53->49->65->66->59->67->8->26->36->0->19->22->4->75->74->42->47->39->57->55->54->61->40->28->9->30->32->51->27->11->58->24->21->38->73->52->56->1->10->14->33->62->6
267.83025367744267,467079.0,41->18->74->7->4->21->20->45->23->58->52->71->61->53->11->43->50->72->27->65->55->56->36->0->30->6->32->31->40->24->75->22->13->73->35->47->2->68->62->64->1->28->15->12->63->69->25->19->38->42->29->54->3->5->34->51->46->70->60->59->49->67->44->8->26->10->48->39->37->17->14->9->66->57->33->16
253.34134329296649,477942.0,69->65->67->44->58->54->19->31->12->40->38->63->5->33->28->42->50->35->25->20->17->13->10->15->3->46->66->56->41->57->22->47->74->36->71->61->48->34->70->62->16->43->53->60->30->26->4->32->27->14->18->39->0->7->75->9->6->21->68->59->23->49->55->64->72->51->2->1->8->11->29->37->73->52->45->24
251.54688191786408,471856.0,63->15->10->23->19->2->29->30->24->20->47->3->59->72->27->28->17->4->42->57->61->40->13->0->32->39->51->54->48->31->25->60->55->6->9->73->5->74->46->37->11->7->22->8->67->50->68->58->12->45->41->38->71->21->36->35->44->26->62->56->70->65->18->66->69->33->14->34->43->64->49->75->1->16->52->53
247.1044912673533,462194.0,25->73->38->50->40->12->10->31->19->41->47->44->49->16->18->32->45->24->8->75->43->26->74->6->2->33->46->23->54->13->72->71->51->59->34->35->60->64->55->57->48->21->42->9->69->68->0->1->15->14->11->66->22->3->5->58->65->7->30->52->37->4->39->67->56->36->27->17->53->63->61->62->70->20->29->28
256.79559233784676,477259.0,51->68->62->29->26->44->55->23->11->74->22->65->7->1->6->24->57->38->36->18->27->64->3->32->56->40->17->53->45->28->25->33->12->75->14->73->15->4->48->34->59->9->10->2->69->70->61->72->46->67->66->30->39->5->42->47->50->52->54->71->35->21->20->19->13->49->41->58->37->43->63->60->8->16->31->0
246.16282033920288,451688.0,15->12->31->11->33->56->50->32->10->19->1->23->30->44->8->24->18->38->27->62->49->36->60->17->39->48->52->5->14->68->47->55->71->70->66->20->64->22->43->21->35->46->53->7->16->26->25->74->3->29->28->37->59->54->61->57->58->41->72->40->51->69->67->0->6->75->34->73->42->45->65->63->4->2->9->13
250.88606426492333,476682.0,32->17->6->0->30->29->20->38->58->27->44->72->43->74->3->42->21->49->25->1->75->52->61->56->70->40->7->34->71->18->16->12->14->66->57->36->47->39->45->53->26->5->50->19->48->2->15->4->73->9->54->55->65->51->63->62->11->8->22->46->68->41->64->28->23->24->10->35->13->31->60->59->33->69->67->37
