time,dist,path
125.56641208380461,11188.0,40->15->21->2->33->13->22->10->11->14->39->8->0->7->37->30->43->17->6->27->35->29->5->36->18->26->42->16->45->32->19->46->20->12->24->38->31->23->9->44->34->3->25->41->47->4->28->1
116.61568828485906,11466.0,0->8->37->30->43->17->6->27->35->42->26->18->36->5->29->16->19->32->45->39->14->11->10->22->13->24->12->46->20->38->31->23->9->44->34->3->25->1->41->47->4->28->40->33->2->21->15->7
129.9578634556383,11510.0,24->12->22->10->11->14->39->7->0->8->37->30->43->17->6->27->5->36->18->26->42->16->29->35->45->32->19->46->20->31->38->47->4->28->1->41->9->23->44->34->25->3->33->40->15->21->2->13
128.13567296229303,11160.0,4->47->38->31->23->9->44->34->3->25->41->1->28->33->40->15->21->2->22->10->11->32->45->14->39->8->0->7->37->30->43->17->6->27->35->29->5->36->18->26->42->16->19->46->20->12->24->13
121.75593519024551,11351.0,4->47->41->23->9->44->34->3->25->1->28->33->40->15->21->2->22->10->11->14->39->8->0->7->37->30->43->17->6->27->35->29->5->36->18->26->16->42->19->32->45->46->20->12->24->13->38->31
115.13692909106612,11044.0,5->36->18->26->42->16->29->35->27->6->17->43->30->37->7->0->8->39->14->11->10->22->13->24->12->2->21->15->40->33->28->1->25->3->34->44->23->9->41->4->47->38->31->20->46->19->32->45
124.49352371506393,11281.0,41->9->23->44->34->3->25->1->28->4->47->24->13->33->40->15->21->2->22->10->11->32->45->14->39->8->0->7->37->30->43->17->6->27->35->29->5->36->18->26->42->16->19->46->20->12->38->31
123.6966644488275,11212.0,4->47->38->31->20->46->19->32->45->37->30->43->17->6->27->35->29->5->36->18->26->16->42->11->14->39->8->0->7->15->21->2->22->10->12->24->13->33->40->28->1->25->3->34->44->23->9->41
114.65139044634998,11293.0,3->25->1->41->47->4->28->40->33->13->22->10->11->32->45->14->39->2->21->15->7->0->8->37->30->43->17->6->27->35->29->16->42->26->18->36->5->19->46->20->12->24->38->31->23->9->44->34
118.83340398222208,11167.0,32->19->11->14->39->10->22->13->24->12->46->20->31->38->47->4->41->23->9->44->34->3->25->1->28->33->40->15->21->2->7->0->8->37->30->43->17->6->27->35->29->5->36->18->26->42->16->45
118.36156664416194,11378.0,36->18->26->16->42->29->5->27->6->17->43->30->37->7->0->8->39->14->11->10->22->13->33->2->21->15->40->28->4->47->38->31->23->9->44->34->3->25->1->41->24->12->20->46->19->32->45->35
117.41933644749224,11420.0,1->41->47->4->28->33->40->15->21->2->22->10->11->14->39->8->0->7->37->30->43->17->6->27->29->5->36->18->26->16->42->35->45->32->19->46->20->12->24->13->38->31->23->9->25->3->34->44
117.92242956161499,11467.0,47->4->28->1->41->9->23->44->34->3->25->33->40->15->21->2->22->10->11->14->39->8->0->7->37->30->43->17->6->27->35->29->42->16->26->18->36->5->45->32->19->46->20->12->13->24->38->31
129.52214062958956,11078.0,47->4->28->1->25->3->34->44->9->41->23->31->38->24->13->33->40->15->21->2->22->10->11->14->39->8->0->7->37->30->43->6->17->35->27->29->5->36->18->26->16->42->45->32->19->46->20->12
112.8916137367487,11125.0,12->24->22->10->11->14->39->21->15->7->0->8->37->30->43->17->6->27->5->36->18->26->42->16->29->35->45->32->19->46->20->31->38->47->4->41->9->23->44->34->3->25->1->28->40->33->2->13
115.36949446052313,11444.0,13->24->12->10->11->32->45->14->39->8->0->7->37->30->43->17->6->35->27->5->36->18->26->42->16->29->19->46->20->31->38->47->4->28->1->25->3->34->44->9->23->41->22->2->21->15->40->33
120.96486147679389,11168.0,9->23->41->4->47->38->31->20->46->19->32->11->14->45->35->27->5->29->42->26->18->36->16->6->17->43->30->37->7->0->8->39->22->10->12->24->13->33->2->21->15->40->28->1->25->3->34->44
123.58785745128989,11203.0,14->39->8->0->7->37->30->43->17->6->27->29->5->36->18->26->42->16->35->45->32->19->46->20->31->38->47->4->28->1->41->9->25->3->34->44->23->12->24->13->33->40->15->21->2->22->10->11
120.80101309902966,11380.0,11->32->19->46->10->22->13->24->12->20->4->47->38->31->23->9->44->34->3->25->41->1->28->40->33->2->21->15->7->0->8->37->30->43->17->6->27->29->5->36->18->26->42->16->35->45->14->39
123.84702927991748,11023.0,26->29->5->36->18->27->6->17->43->30->37->8->0->7->15->21->2->33->40->28->1->25->3->34->44->23->9->41->4->47->38->31->20->12->24->13->22->10->46->19->11->14->39->32->45->35->42->16
113.57927052304149,11211.0,19->46->20->31->38->47->4->41->9->23->44->34->3->25->1->28->40->33->2->21->15->7->0->8->37->30->43->17->6->27->5->36->18->26->42->16->29->35->45->14->11->10->22->13->24->12->39->32
117.35207487270236,11276.0,46->19->32->45->35->17->6->27->5->36->18->26->42->16->29->43->30->37->8->0->7->15->21->2->39->14->11->10->22->12->24->13->33->40->47->4->28->1->41->9->25->3->34->44->23->31->38->20
127.82646550424397,11048.0,13->33->40->15->21->2->22->10->11->14->39->8->0->7->37->30->43->17->6->27->5->36->18->26->42->16->29->35->45->32->19->46->20->12->24->38->47->4->28->1->41->25->3->34->44->9->23->31
126.22857692837715,11328.0,12->24->13->33->40->15->21->2->22->10->11->32->45->14->39->8->0->7->37->30->43->17->6->27->35->29->5->36->18->26->42->16->19->46->20->31->41->23->9->44->34->3->25->1->28->4->47->38
119.8469419721514,11203.0,15->21->2->33->13->22->10->11->32->45->14->39->8->0->7->37->30->43->17->6->27->35->29->5->36->18->26->42->16->19->46->20->12->24->38->31->23->9->44->34->3->25->41->47->4->28->1->40
