time,dist,path
663.0442383401096,115582.0,49->48->51->52->53->41->42->27->26->25->28->31->32->33->34->35->36->17->16->10->14->15->73->13->12->11->8->9->4->19->18->30->29->3->2->7->6->5->75->74->1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->61->60->58->59->40->39->38->37->57->56->55->54->50->65->64
658.1398234758526,115821.0,59->58->57->54->55->50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->5->6->7->73->15->14->13->12->11->10->9->8->3->2->1->74->75->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->56->60->61->40->39->33->32->31->34->35->36->17->16->37->38
680.3280711565167,116878.0,61->60->58->59->40->39->33->34->35->36->17->16->15->14->12->13->73->74->75->1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->56->57->54->55->50->65->64->49->48->51->52->53->41->42->27->32->31->26->25->28->29->30->18->19->4->3->2->5->6->7->8->9->10->11->37->38
792.9945251531899,117833.0,31->32->27->26->25->28->29->30->18->19->4->3->2->5->6->7->8->9->10->16->17->36->35->34->33->39->40->59->58->57->56->61->60->62->63->72->71->70->64->49->48->51->52->53->41->42->54->55->50->65->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->75->74->73->13->12->11->15->14->37->38
687.8278250992298,118561.0,56->57->54->55->50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->3->2->7->6->5->8->9->10->11->12->13->73->15->14->16->17->36->35->34->33->38->37->39->40->59->58->60->61->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->31->32
672.7989621367306,117783.0,10->9->8->5->6->7->2->3->4->19->18->30->29->28->25->26->27->42->41->53->52->51->50->65->64->49->48->54->55->56->57->58->59->40->39->33->32->31->34->35->36->17->16->15->14->13->12->11->73->74->75->1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->61->60->38->37
644.5963594969362,115901.0,35->36->17->16->10->9->8->7->6->5->2->3->4->19->18->30->29->28->25->26->48->49->50->65->64->55->54->51->52->53->41->42->27->32->31->34->33->39->40->59->58->57->56->60->61->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->73->13->12->11->15->14->38->37
672.1511254236102,117722.0,2->3->4->19->18->30->29->28->27->42->41->53->52->51->48->49->64->65->50->55->54->57->58->60->61->56->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->7->6->5->8->9->10->11->12->13->73->15->14->16->17->36->35->37->38->34->31->32->33->39->40->59->26->25
646.4766520429403,117251.0,58->59->40->39->38->37->35->34->33->32->31->27->42->41->53->52->51->48->49->50->65->64->55->54->57->56->60->61->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->75->74->26->25->28->29->30->18->19->4->3->2->7->6->5->8->9->10->11->12->13->73->14->15->16->17->36
652.2302887029946,116398.0,73->13->12->11->10->9->8->5->6->7->2->3->4->19->18->30->29->28->27->32->31->25->26->42->41->53->52->51->48->49->64->65->50->55->54->57->58->59->40->39->33->34->35->36->17->16->15->14->37->38->60->61->56->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75
732.5740741603076,117858.0,14->15->16->17->36->35->34->33->39->40->59->58->57->54->55->50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->3->2->5->6->7->8->9->10->11->12->13->73->75->74->1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->56->61->60->38->37->31->32
656.4892691932619,117220.0,5->6->7->8->9->10->16->17->36->35->34->33->39->40->59->58->57->54->55->64->65->50->49->48->51->52->53->41->42->27->32->31->28->25->26->29->30->18->19->4->3->2->1->74->75->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->56->60->61->38->37->15->14->13->12->11->73
679.1200366709381,116921.0,22->21->20->24->23->45->44->43->47->46->68->67->66->69->64->65->50->49->48->51->52->53->41->42->27->32->31->28->29->30->18->19->4->5->6->7->8->9->10->11->12->13->73->14->15->16->17->36->35->34->33->37->38->39->40->59->58->60->61->62->63->71->72->70->56->57->54->55->25->26->2->3->75->74->1->0
691.7729034684598,117647.0,54->55->50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->3->2->5->6->7->8->9->10->16->17->36->35->34->33->39->40->59->58->60->61->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->73->13->12->11->14->15->37->38->32->31->56->57
689.6868931613863,116307.0,32->31->34->33->39->40->59->58->57->54->55->50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->5->6->7->2->3->8->9->10->11->15->14->12->13->73->75->74->1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->56->61->60->38->37->35->36->17->16
680.0800165329129,117865.0,50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->3->2->5->6->7->8->9->10->16->17->36->35->37->38->39->40->59->58->57->56->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->73->13->12->11->14->15->34->33->32->31->60->61->55->54
733.5074040368199,116141.0,14->15->16->17->36->35->34->33->39->40->59->58->57->54->55->50->65->64->49->48->51->52->53->41->42->27->28->31->32->26->25->29->30->18->19->4->3->2->5->6->7->8->9->10->11->12->13->73->74->75->1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->56->61->60->38->37
695.2252870239317,116644.0,14->15->16->17->36->35->34->31->32->33->39->40->59->58->57->54->55->50->65->64->49->48->51->52->53->41->42->27->26->25->28->29->30->18->19->4->3->2->5->6->7->8->11->10->9->37->38->60->61->56->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->75->74->73->13->12
667.1848013922572,118060.0,19->4->3->2->5->6->7->8->9->10->11->14->15->16->17->36->35->34->33->32->31->28->29->18->30->25->26->27->42->41->53->52->51->48->49->50->65->64->55->54->57->58->59->40->39->38->37->60->61->56->62->63->72->71->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->73->13->12
642.8805517926812,117148.0,57->56->55->54->50->65->64->49->48->51->52->53->41->42->27->26->25->32->31->28->29->30->18->19->4->3->2->5->6->7->8->9->10->16->17->36->35->34->33->39->40->59->58->60->61->63->62->71->72->70->69->66->67->68->46->47->43->44->45->23->24->20->21->22->0->1->74->75->73->13->12->11->14->15->37->38
746.6296634767205,117877.0,1->0->22->21->20->24->23->45->44->43->47->46->68->67->66->69->70->71->72->63->62->61->60->58->59->40->39->38->37->35->36->17->16->10->9->8->5->6->7->2->3->4->19->18->30->29->28->31->32->26->25->27->42->41->53->52->51->50->65->64->49->48->54->55->56->57->33->34->14->15->11->12->13->73->75->74
