time,dist,path
170.1182033009827,143156.0,54->41->53->52->51->50->64->65->49->46->68->67->69->66->48->42->32->27->26->47->43->44->45->22->0->75->74->1->5->8->10->14->15->16->17->36->35->34->19->4->3->2->6->7->73->13->12->11->9->18->30->29->25->24->23->21->20->28->31->33->59->60->61->62->63->72->71->70->56->57->58->37->38->39->40->55
169.87455868534744,141054.0,21->20->24->23->45->68->67->69->66->46->44->43->47->49->48->52->51->50->64->65->53->41->27->32->31->28->25->26->42->56->57->59->40->38->37->33->54->55->70->71->72->63->62->61->60->58->39->34->29->30->18->1->0->75->74->7->6->5->8->10->17->36->35->16->15->14->73->13->12->11->9->4->19->3->2->22
168.31652426160872,146870.0,4->9->10->15->14->12->13->73->11->8->7->6->1->0->21->45->23->24->20->22->75->74->5->37->38->40->58->57->70->71->72->63->62->60->61->56->64->65->50->51->54->55->59->39->35->36->17->16->48->49->66->69->67->68->46->44->43->47->52->53->41->42->27->32->33->34->31->28->25->26->29->30->18->19->3->2
154.58727971091866,151060.0,8->9->5->6->7->2->19->30->42->54->55->65->64->62->61->60->58->59->40->41->53->47->48->52->51->50->49->66->69->67->68->46->43->44->45->23->22->0->74->75->1->21->26->25->24->20->3->10->11->12->13->73->14->15->16->17->31->32->33->34->35->36->37->38->39->70->71->72->63->56->57->27->28->29->18->4
150.5808188188821,145383.0,59->40->39->33->28->29->31->32->34->35->37->38->58->60->61->63->62->56->54->53->41->42->26->25->24->20->23->45->44->52->51->48->49->47->43->46->68->67->69->66->50->65->64->70->72->71->55->21->22->0->75->74->1->2->3->9->17->36->16->15->14->73->13->12->11->10->8->6->7->5->4->19->18->30->27->57
168.8291565682739,148018.0,39->62->63->72->71->70->41->42->27->25->24->20->45->44->46->47->43->26->53->52->48->49->66->69->67->68->64->65->50->51->54->55->56->61->60->57->58->59->40->33->34->18->19->4->6->7->5->8->9->35->38->37->36->15->14->12->73->13->11->10->16->17->31->32->29->30->3->2->1->74->75->0->22->21->23->28
158.71451003290713,152025.0,17->35->34->55->54->53->52->41->42->27->28->29->25->26->45->44->46->43->47->32->31->30->18->19->4->9->8->6->5->2->0->22->21->23->24->7->73->13->12->11->36->37->38->33->39->40->59->58->57->56->60->61->62->63->71->72->70->69->67->68->66->64->65->50->51->49->48->20->75->74->1->3->10->14->15->16
155.16987475380301,164713.0,58->54->55->56->62->63->65->50->51->53->41->34->36->17->35->29->26->25->23->22->0->74->75->1->7->6->8->16->37->38->40->52->48->49->64->66->69->67->68->46->44->47->43->45->19->18->30->21->24->20->2->3->4->5->9->10->11->15->14->73->13->12->60->61->72->71->70->57->42->27->28->31->32->33->39->59
159.4702947922051,152080.0,41->42->28->4->9->8->11->14->15->37->38->39->40->33->31->34->35->36->32->27->26->47->46->68->67->69->66->64->65->50->49->48->24->20->21->22->23->45->44->43->25->29->30->18->19->17->16->10->12->13->73->5->3->2->6->7->75->74->0->1->55->56->62->70->71->72->63->61->60->59->58->57->54->51->52->53
152.53154591284692,156053.0,12->13->11->10->8->9->30->32->50->65->64->31->35->36->37->38->40->59->60->61->57->54->33->34->19->4->2->1->75->74->0->22->21->24->20->3->5->6->7->73->15->17->39->58->56->62->71->72->70->63->55->51->52->53->41->42->27->26->25->23->45->44->47->43->46->68->67->69->66->49->48->28->29->18->16->14
198.1104470808059,158521.0,39->40->59->58->60->61->56->57->54->55->51->49->48->52->38->37->35->17->36->16->24->23->20->21->3->2->27->32->31->18->8->9->11->12->10->5->1->74->75->0->22->45->66->69->67->68->46->47->43->44->26->25->28->29->30->19->4->6->7->73->13->14->15->62->63->71->72->70->64->65->50->53->41->42->34->33
157.68428209982812,168539.0,32->42->41->53->64->70->71->72->63->62->56->54->24->22->0->75->74->1->21->23->44->45->20->3->4->5->7->6->2->43->47->49->65->50->51->52->19->9->8->11->12->13->73->14->15->10->16->17->36->35->59->61->60->58->27->28->26->25->29->30->18->37->38->40->57->55->66->67->69->68->46->48->39->33->34->31
163.94306752830744,141877.0,42->26->47->44->43->25->28->31->32->27->41->53->52->51->54->56->62->63->72->71->70->64->65->50->55->57->61->60->58->59->40->39->33->38->37->35->36->9->7->75->74->6->5->18->30->19->4->3->20->21->22->0->1->2->8->11->12->13->73->14->15->10->16->17->34->29->24->23->45->46->68->67->69->66->49->48
160.51493705622852,145704.0,45->44->43->47->46->68->69->66->67->49->48->51->52->53->41->54->55->50->65->64->63->62->61->60->59->35->36->17->13->73->10->29->28->31->32->34->16->15->14->12->11->9->8->6->5->2->3->22->0->75->74->1->7->4->19->18->30->33->37->38->40->58->72->71->70->56->57->39->42->27->26->25->24->20->21->23
150.20279989764094,156073.0,50->49->66->69->67->68->46->47->43->41->42->27->26->25->29->28->31->32->33->34->35->9->4->19->18->30->52->48->44->45->23->24->20->21->22->3->2->37->38->58->70->71->72->63->61->60->57->56->62->64->65->55->51->53->0->1->75->74->7->6->5->8->10->15->14->73->13->12->11->16->17->36->39->40->59->54
147.8632767032832,154981.0,2->5->8->9->4->18->19->30->29->28->27->42->41->53->52->48->49->50->65->55->54->51->32->31->26->43->47->44->45->46->68->67->69->66->64->63->62->56->57->25->0->75->74->1->6->7->11->12->13->73->14->15->40->58->60->61->72->71->70->59->39->33->34->36->35->37->38->17->16->10->20->22->21->23->24->3
190.7809265125543,178422.0,18->1->0->22->21->20->46->68->69->66->67->48->51->54->56->57->40->59->58->60->62->63->55->52->53->41->27->42->32->31->29->24->45->44->28->33->38->39->61->71->72->70->37->73->13->12->11->25->26->49->64->65->50->47->43->23->75->74->7->6->5->2->3->4->19->9->8->10->16->14->15->17->36->35->34->30
157.79805806651711,139688.0,7->6->2->3->4->8->9->5->1->74->75->0->21->20->22->19->18->30->29->33->39->40->59->58->60->61->56->62->63->72->71->70->65->64->66->69->67->68->46->47->32->31->34->15->14->12->73->13->11->10->16->17->36->35->37->38->42->41->53->52->51->54->57->55->50->49->48->43->44->45->23->24->25->26->27->28
153.35851586982608,147221.0,31->32->27->29->24->20->21->22->0->75->74->1->2->3->4->9->8->6->7->5->19->18->30->28->25->26->45->23->11->13->73->12->10->35->33->39->54->55->51->52->48->49->64->65->50->53->41->34->36->15->14->16->17->37->38->60->61->58->40->59->57->56->62->63->72->71->70->69->66->67->68->46->44->47->43->42
164.67725261487067,160238.0,30->28->29->25->42->41->53->52->51->54->58->59->38->16->15->14->12->73->13->11->10->37->57->56->55->50->48->49->66->67->65->64->40->39->33->34->35->36->17->32->27->26->47->46->68->43->20->24->21->22->23->45->44->69->70->72->71->63->62->61->60->31->19->3->2->0->75->74->1->7->6->5->8->9->4->18
153.67852445319295,156420.0,32->42->41->53->52->49->48->51->54->50->65->67->68->69->66->64->55->56->60->38->37->35->36->17->16->39->40->59->58->61->70->72->71->63->62->57->10->15->14->7->6->75->74->0->1->3->2->22->21->44->46->47->43->26->27->28->25->45->23->24->20->5->73->13->12->11->8->9->4->19->18->30->29->31->34->33
156.98226741701365,170417.0,28->27->32->34->37->38->33->39->40->59->58->57->54->51->50->52->41->24->20->3->5->9->53->56->61->60->35->17->15->14->10->16->36->31->47->68->46->44->45->22->0->75->74->1->6->7->73->13->12->11->8->2->21->23->43->65->70->71->72->63->62->55->64->66->69->67->49->48->42->26->25->4->19->18->30->29
165.25553087331355,158171.0,11->10->16->17->15->14->13->73->12->36->35->34->31->28->29->19->18->30->27->26->42->41->53->52->48->51->55->57->56->62->61->60->58->32->22->0->75->74->1->5->4->33->37->38->39->40->59->50->66->69->67->68->45->24->25->54->63->71->72->70->64->65->49->47->43->46->44->23->21->20->3->2->6->7->8->9
154.4702052976936,167332.0,21->20->24->23->45->26->42->41->52->53->39->33->16->14->15->17->37->38->40->59->58->60->61->57->56->55->50->64->65->66->47->43->44->3->2->5->4->18->48->49->51->54->62->63->72->71->70->69->67->68->46->0->75->74->1->6->7->73->13->12->36->34->31->30->9->8->11->10->35->32->27->25->28->29->19->22
161.66237328387797,153605.0,32->31->28->27->42->41->56->62->61->60->39->38->37->34->30->29->18->19->4->8->9->10->16->17->36->35->1->74->75->0->22->26->63->72->71->70->64->48->47->44->45->23->24->20->21->3->2->5->6->7->11->12->73->13->14->15->25->43->46->68->67->69->66->49->51->53->52->50->65->55->54->57->58->59->40->33
