time,dist,path
135.005621727556,6859.0,1->2->15->9->8->10->4->14->5->6->11->12->13->0->7->3
135.8949806317687,6859.0,11->6->5->14->4->10->8->9->15->2->1->3->7->0->13->12
131.17926954105496,6870.0,6->9->8->10->4->14->0->7->3->1->2->15->11->12->13->5
139.0483864005655,6875.0,13->14->4->10->8->9->5->6->11->15->2->1->3->7->0->12
135.14344149269164,6875.0,6->5->9->8->10->4->14->13->12->0->7->3->1->2->15->11
136.19933082722127,6859.0,11->12->13->0->7->3->1->2->15->9->8->10->4->14->5->6
131.97082097269595,6859.0,14->5->6->11->12->13->0->7->3->1->2->15->9->8->10->4
140.80457882769406,6859.0,11->6->5->14->4->10->8->9->15->2->1->3->7->0->13->12
156.79521605931222,6870.0,5->6->9->8->10->4->14->0->7->3->1->2->15->11->12->13
135.66000208817422,6870.0,9->8->10->4->14->0->7->3->1->2->15->11->12->13->5->6
136.8663069922477,6870.0,9->8->10->4->14->0->7->3->1->2->15->11->12->13->5->6
136.87000182829797,6875.0,8->10->4->14->13->12->0->7->3->1->2->15->11->6->5->9
138.2085048481822,6859.0,13->0->7->3->1->2->15->9->8->10->4->14->5->6->11->12
132.79024038650095,6870.0,5->13->12->11->15->2->1->3->7->0->14->4->10->8->9->6
132.3417182546109,6870.0,5->13->12->11->15->2->1->3->7->0->14->4->10->8->9->6
143.6456238683313,6875.0,13->12->0->7->3->1->2->15->11->6->5->9->8->10->4->14
141.73854804225266,6870.0,9->6->5->13->12->11->15->2->1->3->7->0->14->4->10->8
176.47844382748008,6870.0,11->15->2->1->3->7->0->14->4->10->8->9->6->5->13->12
138.52281429059803,6870.0,0->7->3->1->2->15->11->12->13->5->6->9->8->10->4->14
133.35335627570748,6859.0,7->3->1->2->15->9->8->10->4->14->5->6->11->12->13->0
140.5428960584104,6870.0,6->9->8->10->4->14->0->7->3->1->2->15->11->12->13->5
131.87469955161214,6859.0,11->12->13->0->7->3->1->2->15->9->8->10->4->14->5->6
135.96970738843083,6859.0,6->5->14->4->10->8->9->15->2->1->3->7->0->13->12->11
138.6572339311242,6870.0,13->12->11->15->2->1->3->7->0->14->4->10->8->9->6->5
138.04349057935178,6859.0,1->2->15->9->8->10->4->14->5->6->11->12->13->0->7->3
