from,to,dist
1,2,1118.0
1,3,3621.0
1,4,3891.0
1,5,5206.0
1,6,4884.0
1,7,4650.0
1,8,4975.0
1,9,6248.0
1,10,6408.0
1,11,8009.0
1,12,7803.0
1,13,8500.0
1,14,8664.0
1,15,9414.0
1,16,9522.0
1,17,9031.0
1,18,9408.0
1,19,6180.0
1,20,5561.0
1,21,3833.0
1,22,3050.0
1,23,1931.0
1,24,4750.0
1,25,4366.0
1,26,6792.0
1,27,7403.0
1,28,8291.0
1,29,7410.0
1,30,6647.0
1,31,6524.0
1,32,8488.0
1,33,8985.0
1,34,10286.0
1,35,9588.0
1,36,9737.0
1,37,9638.0
1,38,11029.0
1,39,11416.0
1,40,11536.0
1,41,12092.0
1,42,9793.0
1,43,9081.0
1,44,8509.0
1,45,7800.0
1,46,6587.0
1,47,9500.0
1,48,9055.0
1,49,11147.0
1,50,11815.0
1,51,12470.0
1,52,11449.0
1,53,10577.0
1,54,10271.0
1,55,12255.0
1,56,12865.0
1,57,13878.0
1,58,12965.0
1,59,12748.0
1,60,12483.0
1,61,14134.0
1,62,14667.0
1,63,15158.0
1,64,15782.0
1,65,14098.0
1,66,13384.0
1,67,13238.0
1,68,12550.0
1,69,11322.0
1,70,16269.0
1,71,17937.0
1,72,18831.0
1,73,18986.0
1,74,10468.0
1,75,3606.0
1,76,3716.0
2,3,2926.0
2,4,3360.0
2,5,4556.0
2,6,4049.0
2,7,3684.0
2,8,3950.0
2,9,5393.0
2,10,5640.0
2,11,7204.0
2,12,6894.0
2,13,7517.0
2,14,7650.0
2,15,8502.0
2,16,8661.0
2,17,8298.0
2,18,8727.0
2,19,5766.0
2,20,5092.0
2,21,4200.0
2,22,3688.0
2,23,2860.0
2,24,5344.0
2,25,4750.0
2,26,6806.0
2,27,7464.0
2,28,8194.0
2,29,7224.0
2,30,6394.0
2,31,6178.0
2,32,8176.0
2,33,8731.0
2,34,9915.0
2,35,9128.0
2,36,9155.0
2,37,9005.0
2,38,10490.0
2,39,10928.0
2,40,11187.0
2,41,11774.0
2,42,9783.0
2,43,9067.0
2,44,8950.0
2,45,8360.0
2,46,7252.0
2,47,10050.0
2,48,9500.0
2,49,11367.0
2,50,12052.0
2,51,12596.0
2,52,11537.0
2,53,10645.0
2,54,10288.0
2,55,12237.0
2,56,12875.0
2,57,13778.0
2,58,12815.0
2,59,12500.0
2,60,12197.0
2,61,13890.0
2,62,14456.0
2,63,15052.0
2,64,15691.0
2,65,14258.0
2,66,13551.0
2,67,13700.0
2,68,13088.0
2,69,11922.0
2,70,16886.0
2,71,17994.0
2,72,18784.0
2,73,18924.0
2,74,9361.0
2,75,3640.0
2,76,3829.0
3,4,700.0
3,5,1629.0
3,6,1368.0
3,7,1628.0
3,8,2193.0
3,9,2700.0
3,10,2789.0
3,11,4398.0
3,12,4307.0
3,13,5168.0
3,14,5441.0
3,15,5900.0
3,16,5941.0
3,17,5413.0
3,18,5814.0
3,19,3002.0
3,20,2290.0
3,21,3572.0
3,22,3963.0
3,23,4209.0
3,24,5022.0
3,25,3991.0
3,26,4750.0
3,27,5450.0
3,28,5818.0
3,29,4740.0
3,30,3842.0
3,31,3489.0
3,32,5464.0
3,33,6082.0
3,34,7110.0
3,35,6256.0
3,36,6231.0
3,37,6080.0
3,38,7574.0
3,39,8032.0
3,40,8390.0
3,41,9003.0
3,42,7501.0
3,43,6807.0
3,44,7748.0
3,45,7536.0
3,46,6850.0
3,47,9081.0
3,48,8271.0
3,49,9500.0
3,50,10200.0
3,51,10496.0
3,52,9391.0
3,53,8485.0
3,54,8041.0
3,55,9876.0
3,56,10551.0
3,57,11264.0
3,58,10240.0
3,59,9801.0
3,60,9458.0
3,61,11183.0
3,62,11783.0
3,63,12514.0
3,64,13170.0
3,65,12193.0
3,66,11513.0
3,67,12346.0
3,68,11958.0
3,69,11012.0
3,70,15891.0
3,71,15687.0
3,72,16304.0
3,73,16420.0
3,74,7865.0
3,75,6471.0
3,76,6690.0
4,5,1369.0
4,6,1628.0
4,7,2163.0
4,8,2746.0
4,9,2789.0
4,10,2700.0
4,11,4308.0
4,12,4397.0
4,13,5361.0
4,14,5686.0
4,15,5941.0
4,16,5900.0
4,17,5202.0
4,18,5536.0
4,19,2421.0
4,20,1733.0
4,21,3100.0
4,22,3669.0
4,23,4150.0
4,24,4539.0
4,25,3465.0
4,26,4050.0
4,27,4750.0
4,28,5139.0
4,29,4074.0
4,30,3185.0
4,31,2873.0
4,32,4867.0
4,33,5464.0
4,34,6566.0
4,35,5768.0
4,36,5849.0
4,37,5748.0
4,38,7156.0
4,39,7574.0
4,40,7842.0
4,41,8442.0
4,42,6817.0
4,43,6119.0
4,44,7087.0
4,45,6921.0
4,46,6308.0
4,47,8438.0
4,48,7605.0
4,49,8800.0
4,50,9500.0
4,51,9802.0
4,52,8699.0
4,53,7793.0
4,54,7355.0
4,55,9205.0
4,56,9876.0
4,57,10621.0
4,58,9609.0
4,59,9208.0
4,60,8881.0
4,61,10595.0
4,62,11183.0
4,63,11877.0
4,64,12530.0
4,65,11498.0
4,66,10817.0
4,67,11660.0
4,68,11290.0
4,69,10367.0
4,70,15227.0
4,71,15014.0
4,72,15658.0
4,73,15779.0
4,74,8285.0
4,75,6976.0
4,76,7179.0
5,6,1115.0
5,7,2014.0
5,8,2512.0
5,9,1624.0
5,10,1363.0
5,11,2950.0
5,12,3153.0
5,13,4207.0
5,14,4592.0
5,15,4637.0
5,16,4552.0
5,17,3841.0
5,18,4203.0
5,19,1698.0
5,20,1053.0
5,21,4162.0
5,22,4915.0
5,23,5507.0
5,24,5531.0
5,25,4415.0
5,26,4073.0
5,27,4739.0
5,28,4750.0
5,29,3635.0
5,30,2746.0
5,31,2247.0
5,32,4071.0
5,33,4738.0
5,34,5593.0
5,35,4680.0
5,36,4603.0
5,37,4453.0
5,38,5953.0
5,39,6427.0
5,40,6871.0
5,41,7503.0
5,42,6444.0
5,43,5794.0
5,44,7481.0
5,45,7524.0
5,46,7135.0
5,47,8899.0
5,48,7959.0
5,49,8698.0
5,50,9390.0
5,51,9500.0
5,52,8385.0
5,53,7494.0
5,54,6994.0
5,55,8697.0
5,56,9389.0
5,57,9949.0
5,58,8888.0
5,59,8355.0
5,60,7980.0
5,61,9721.0
5,62,10345.0
5,63,11171.0
5,64,11835.0
5,65,11193.0
5,66,10543.0
5,67,11820.0
5,68,11585.0
5,69,10799.0
5,70,15529.0
5,71,14485.0
5,72,14981.0
5,73,15080.0
5,74,7431.0
5,75,8080.0
5,76,8305.0
6,7,906.0
6,8,1401.0
6,9,1364.0
6,10,1625.0
6,11,3155.0
6,12,2950.0
6,13,3804.0
6,14,4092.0
6,15,4553.0
6,16,4638.0
6,17,4281.0
6,18,4763.0
6,19,2811.0
6,20,2162.0
6,21,4726.0
6,22,5264.0
6,23,5576.0
6,24,6159.0
6,25,5072.0
6,26,5138.0
6,27,5816.0
6,28,5865.0
6,29,4750.0
6,30,3860.0
6,31,3360.0
6,32,5137.0
6,33,5815.0
6,34,6567.0
6,35,5591.0
6,36,5343.0
6,37,5107.0
6,38,6727.0
6,39,7259.0
6,40,7835.0
6,41,8480.0
6,42,7558.0
6,43,6909.0
6,44,8460.0
6,45,8412.0
6,46,7891.0
6,47,9856.0
6,48,8954.0
6,49,9801.0
6,50,10494.0
6,51,10615.0
6,52,9500.0
6,53,8608.0
6,54,8108.0
6,55,9800.0
6,56,10494.0
6,57,11019.0
6,58,9947.0
6,59,9368.0
6,60,8974.0
6,61,10720.0
6,62,11357.0
6,63,12230.0
6,64,12895.0
6,65,12308.0
6,66,11658.0
6,67,12881.0
6,68,12607.0
6,69,11772.0
6,70,16554.0
6,71,15579.0
6,72,16041.0
6,73,16134.0
6,74,6665.0
6,75,7379.0
6,76,7625.0
7,8,583.0
7,9,1860.0
7,10,2343.0
7,11,3697.0
7,12,3228.0
7,13,3850.0
7,14,4031.0
7,15,4827.0
7,16,5033.0
7,17,4912.0
7,18,5449.0
7,19,3712.0
7,20,3050.0
7,21,5197.0
7,22,5561.0
7,23,5645.0
7,24,6647.0
7,25,5602.0
7,26,5972.0
7,27,6659.0
7,28,6760.0
7,29,5645.0
7,30,4750.0
7,31,4261.0
7,32,6039.0
7,33,6720.0
7,34,7438.0
7,35,6439.0
7,36,6114.0
7,37,5836.0
7,38,7504.0
7,39,8062.0
7,40,8698.0
7,41,9349.0
7,42,8455.0
7,43,7800.0
7,44,9205.0
7,45,9081.0
7,46,8457.0
7,47,10577.0
7,48,9712.0
7,49,10668.0
7,50,11364.0
7,51,11509.0
7,52,10394.0
7,53,9500.0
